Hour,2025-04-11,2025-04-30,2025-05-18,2025-06-05,2025-06-23,2025-07-11,2025-07-29,2025-08-16,2025-09-03,2025-09-21,2025-10-09,2025-10-27,2025-11-14,2025-12-02,2025-12-20,2026-01-07,2026-01-26,2026-02-16,2026-03-06,2026-03-24
0,238.2407037420083,68.41005782248966,255.2233395696913,189.77198316183348,58.21234088703692,84.98745132464492,100.08468949062505,175.80750444549486,110.48939833884799,45.853478740405606,100.83591845778862,164.49225939157736,328.0943488145502,79.4784068168614,244.59891099296857,162.4973203567141,73.72855539522206,193.12224628481815,84.83550236306434,315.321887545721
1,237.6627726588943,57.490803638585945,244.70270112254443,189.55098222637977,77.42736457560363,76.65946383955703,95.53903031940037,196.6163594210728,109.06993494946765,37.05125824386072,102.3432306669621,169.3341994153946,324.3707372523547,73.39395993372496,246.08986451723547,164.99742754244556,69.89578322911657,175.92226122022254,115.75822221653621,293.3032475058616
2,243.5037843174126,47.25569410492667,239.99561506080448,201.32980589335824,92.52582909983447,92.33517905778018,84.92752155220924,196.37495216872625,101.20562945956289,35.09276453508003,105.32517172612454,158.69032153296524,316.7841290462271,73.37163514298625,236.92066112159148,162.52197307494424,60.36088397199508,160.4947886106873,157.01704306182347,278.413046965549
3,252.00939027830012,37.58047550770967,231.5981641721235,194.3755846585594,109.34927792682231,96.66559749701759,88.12011839647062,191.19341841672858,104.17735836315754,32.151985279222096,96.49651008198538,149.43488145501786,301.42389303886546,71.45439287328126,244.1835662836563,168.92739238552565,51.63286302175191,152.48141075562478,191.956945639392,272.7312662075179
4,248.12194433997746,30.60957479315533,220.13447146866233,177.2673058933583,138.1814030481192,103.52375807504447,96.58118936682648,177.7342606973237,121.20838679181581,38.27025232403719,94.79448260580544,137.1213597488362,279.7680523979647,75.61379725862326,253.17698507974617,176.03568212999485,45.37205387205387,137.22596200006402,219.00145206119126,274.8410986001379
5,231.82264244076723,31.451262222640093,161.69638681010287,190.70539055191767,151.93732518979394,104.80619893308125,105.70964728655998,163.9084903324555,141.36476692101652,47.37189659441331,104.34273210724574,139.87983111399808,260.87230702609077,89.52294880898586,254.69419910821472,178.2914058480535,37.94556677890011,122.939447603401,258.5887766970832,291.12412316066917
6,209.39409787514106,26.881228845430613,105.5378858746492,207.1351730589336,108.35692676522632,90.65320638350553,100.26926193530961,154.8641591824791,162.28560334931464,64.11287055169154,114.22473964103698,157.77389845187832,249.53745804915013,111.54595141264821,256.31404347453264,176.20021222774824,33.10627438405216,111.75816379871343,285.8534377708622,268.45463276061906
7,160.51411479879658,16.302357559232796,86.64055191768009,248.44948550046774,107.0046806324562,79.90692596844262,82.84742386386657,138.30272131811736,165.62338217750465,74.83624822742928,110.59716374916907,173.60452527877015,226.13754465735627,142.81814171669572,254.0859200823186,180.64734822500424,30.0732456843568,111.00179224852512,290.6432940253332,241.7689712283028
8,122.73352294095527,13.164165334712298,113.59184985968194,253.17586529466791,127.18448541583425,94.32524140725235,73.27272829585613,107.28329619375604,148.14808562360727,81.07569721115539,117.9248836693995,168.4889574537187,194.0513694922594,155.16509586211347,269.4617132567313,180.80330346424282,31.244802522580297,105.17245057981371,275.33580247703304,220.3129797186253
9,105.75845007521626,12.310784129371946,139.9929840972872,231.73351262862488,140.38672298647185,118.12636459810474,90.18080221486935,110.60813244198349,140.23510477862564,85.93000877844554,128.07306669621093,165.75484464653024,150.35590559705534,167.27239472381814,263.24842436974785,187.10555650831762,43.162845385067605,105.24979463818981,234.74314935227622,214.1734311972608
10,80.76403253102671,12.32065626175254,142.9952057998129,228.60061973807294,158.2347736742965,128.47930312647716,104.8340536160443,121.37157584351858,163.71322619128009,100.78949737772075,130.7796920008863,176.71836093969904,110.88502760636572,186.77565468121273,256.18140113188133,179.406137454982,51.09296670407781,106.47849835177145,190.3933478877782,222.81285489218718
11,66.8125940203084,9.707978798420461,138.69387277829748,232.1047708138447,179.0798561561733,133.97230287887996,116.18047583676592,116.5819771760416,179.20690120872442,116.40865914871588,124.78894305340128,198.00205694489557,85.23546606040921,193.8450820906763,241.26865031726976,162.58092522723373,48.3139062583507,104.94041840468543,160.8803692437334,245.78899338897935
12,65.7578036855961,12.369106101918016,141.43445977549112,232.2415809167446,182.5911867115703,136.0234204425237,130.90406734643346,105.33600063024738,210.12250433295068,114.55393116798345,136.3508198537558,173.02289704449498,65.3239688210458,209.0157188044671,223.39141013548277,151.62520365288972,49.8583720805943,105.23379241921545,143.62470966636766,257.10995456317653
13,62.198753055660035,25.264226447912748,97.9028297474275,220.85009354536948,168.79473714253098,133.73455331217505,134.76348841920455,85.2277331352556,219.357316496725,139.59416571004118,143.1121205406603,178.68382591750571,65.92562520298799,255.9464635379683,214.57699151089008,148.60203009775339,49.754449254449256,102.3011190885136,139.37833757329497,287.992732445419
14,58.013556553215494,38.38646460135389,101.62973573433115,196.53180542563146,181.06883954563617,136.02313908208973,136.74398451392173,79.2716141085376,240.9306277714003,169.93241722376035,157.47894970086418,192.10999242178195,68.10652809353685,269.6536160781529,209.16009260847193,139.24417981478305,54.62970979637645,99.17428550092278,146.40688522950586,292.16395394913667
15,54.98216552275292,45.38665851823995,125.09997661365763,206.21228952291864,180.15497459900678,129.55100501947015,142.53775857023882,94.24252143966508,238.09282643437552,207.52414072523464,187.39585641480167,197.0967305402187,84.93369059218361,297.6935532459708,202.7099232550163,134.40822757674496,56.911709689487466,105.81814011542934,163.02476839808182,315.5510901331872
16,47.93634237495299,45.775168061301244,141.45199953227316,194.09757951356409,176.6091101090245,117.72289373579129,145.02892385261214,114.80209107074526,225.99179552974545,229.94519098746258,234.5994903611788,217.14382375230053,99.44110641983328,324.2891033503324,195.07963899845655,133.3379780483622,59.9647266313933,129.32726671431772,187.67200571995826,347.4354275491418
17,32.01056553215495,39.42136376457315,124.81729420018708,183.2749649204864,184.62583480792284,111.15115807954624,145.01766943525334,118.26817025682581,229.46997321448669,295.9771085150922,287.3543097717704,229.84518783154704,108.8004763451337,336.87490585931613,182.5308694906534,133.7211670382439,64.40863663085885,160.37157152458474,199.6974571934114,382.7085371722509
18,19.045106242948478,28.51688839789395,110.70363657623946,183.76373947614593,205.7737313773617,114.36992144416685,151.99062507034012,115.77334728881085,235.67340806266463,329.5012042226574,319.41169953467755,229.3068637003356,131.45447656165425,353.7610548060164,161.8241939632996,140.06334676727835,64.47383891828338,188.97873838505603,246.56376912903636,388.1282089690186
19,21.01741726212862,19.581374576908612,99.21275724976614,164.79478484565013,222.70706090530285,109.95228127039863,151.1881851126567,124.70232066085939,236.29634006347493,339.39243027888443,299.95983824506976,216.49317960376746,144.13933095160766,355.3576808039076,131.8555993826102,141.03686117304062,58.85898669232003,204.19617485203563,282.68034200583696,394.7028440243194
20,46.12468855772847,25.86248942271531,96.95071328344247,171.10968194574366,226.82715908442262,109.63687622391788,175.12464267224885,137.3179597992212,213.1696378328494,296.6492785918473,292.0144582317749,203.2050449280069,154.6302912200931,348.2546317216448,113.46092008231865,132.63269593551706,45.661375661375665,209.3268933292083,317.3280102397467,382.7753591548772
21,81.02758320797292,33.82912396577661,111.09068054256315,188.1323082319925,227.07917118556995,121.32571409278141,200.27348234181915,135.94126319580434,200.11451369662592,276.60150359015915,270.92039663195214,181.8396124282776,175.62249648154162,342.6890344931466,120.50382653061224,133.7133960727148,37.80522152744375,214.06861751496209,329.56923692394776,365.41975678498085
22,138.6482230161715,40.15099073899963,122.27373713751169,217.8092843779233,216.09338432558937,145.88932405969342,208.2967564769172,121.99788416953655,182.73769329461814,235.94801584621965,240.20856414801685,162.15735628450798,189.80513153621305,342.44373076840316,136.00636683244727,133.55744083347622,40.563064507508955,205.73919583515578,324.10865047926995,357.537046893309
23,189.74120910116588,41.042479550582925,116.31665107577176,199.99093779232928,169.20143843826705,145.3991941837171,197.82508384540932,120.51455196164497,175.79090417989062,212.96283791388117,198.40073122091735,142.99393742557106,217.51434448413985,328.57169754481095,144.3944542102555,139.1085898645172,39.33490994602106,197.16200646489645,302.1639497928963,315.0261285637949
